ds,y,avg_duration,std_duration,cold_starts,hour,dayofweek,is_business_hours,is_weekend
1970-01-02 13:31:00,33,0.8668181818181818,0.23362181706572466,1,13,4,1,0
1970-01-02 13:32:00,23,0.8247826086956521,0.16510546395940082,0,13,4,1,0
1970-01-02 13:33:00,27,0.9352962962962963,0.18572577278897692,0,13,4,1,0
1970-01-02 13:34:00,26,0.8551923076923077,0.20634108058857675,0,13,4,1,0
1970-01-02 13:35:00,23,0.9744782608695652,0.16565541166837797,0,13,4,1,0
1970-01-02 13:36:00,40,0.93115,0.1566118098176475,0,13,4,1,0
1970-01-02 13:37:00,34,0.8336764705882352,0.2102745277140044,0,13,4,1,0
1970-01-02 13:38:00,6,0.9211666666666667,0.32378598899067057,0,13,4,1,0
1970-01-02 13:39:00,31,0.909258064516129,0.19944171541947378,0,13,4,1,0
1970-01-02 13:40:00,9,0.8128888888888889,0.21180736793395807,0,13,4,1,0
1970-01-02 13:41:00,31,0.8126129032258064,0.16194601516541549,0,13,4,1,0
1970-01-02 13:42:00,15,0.8645333333333334,0.16412097744680668,0,13,4,1,0
1970-01-02 13:43:00,19,0.8616842105263158,0.23915779371034027,0,13,4,1,0
1970-01-02 13:44:00,2,0.6855,0.06858935777509509,0,13,4,1,0
1970-01-02 13:45:00,18,0.985,0.20599228997564875,0,13,4,1,0
1970-01-02 13:46:00,12,0.9695833333333334,0.16936590744911034,0,13,4,1,0
1970-01-02 13:47:00,23,0.8766956521739131,0.23098453997510288,0,13,4,1,0
1970-01-02 13:48:00,9,0.9187777777777778,0.14761756143645113,0,13,4,1,0
1970-01-02 13:49:00,24,1.0959166666666667,0.2237078678654989,0,13,4,1,0
1970-01-02 13:50:00,22,0.9545909090909092,0.20187446808797013,0,13,4,1,0
1970-01-02 13:51:00,29,1.0610689655172414,0.22064061454813197,0,13,4,1,0
1970-01-02 13:52:00,28,0.8343214285714285,0.13350185282981922,0,13,4,1,0
1970-01-02 13:53:00,41,0.904170731707317,0.17600680419219933,0,13,4,1,0
1970-01-02 13:54:00,26,0.8997692307692307,0.21137706738287532,0,13,4,1,0
1970-01-02 13:55:00,19,0.9739473684210526,0.17134353850418318,0,13,4,1,0
1970-01-02 13:56:00,23,1.0232173913043479,0.19436866482438125,0,13,4,1,0
1970-01-02 13:57:00,29,0.8743793103448275,0.18816603872133467,0,13,4,1,0
1970-01-02 13:58:00,35,0.8562571428571429,0.1720299807757772,0,13,4,1,0
1970-01-02 13:59:00,23,1.0197391304347827,0.23004430746969043,0,13,4,1,0
1970-01-02 14:00:00,32,1.01609375,0.18728835097594915,0,14,4,1,0
