ds,y,avg_duration,std_duration,cold_starts,hour,dayofweek,is_business_hours,is_weekend
1970-01-01 10:55:00,2,0.9445,0.750240294838927,1,10,3,1,0
1970-01-01 10:56:00,2,0.4305,0.0487903679018718,0,10,3,1,0
1970-01-01 10:57:00,3,0.391,0.015132745950421531,0,10,3,1,0
1970-01-01 10:58:00,0,0.0,0.0,0,10,3,1,0
1970-01-01 10:59:00,2,0.4205,0.05161879502661795,0,10,3,1,0
1970-01-01 11:00:00,4,0.4185,0.0752130307858951,0,11,3,1,0
1970-01-01 11:01:00,9,0.39799999999999996,0.023334523779156076,0,11,3,1,0
1970-01-01 11:02:00,8,0.38625,0.022814469093099667,0,11,3,1,0
1970-01-01 11:03:00,6,0.4111666666666667,0.04536702179630779,0,11,3,1,0
1970-01-01 11:04:00,2,0.4195,0.020506096654409875,0,11,3,1,0
1970-01-01 11:05:00,5,0.5082,0.258018797764814,0,11,3,1,0
1970-01-01 11:06:00,8,0.408375,0.05354554136433771,0,11,3,1,0
1970-01-01 11:07:00,9,0.39644444444444443,0.03987201747814848,0,11,3,1,0
1970-01-01 11:08:00,14,0.4281428571428571,0.10918076552415067,0,11,3,1,0
1970-01-01 11:09:00,4,0.39325,0.018892238265135915,0,11,3,1,0
1970-01-01 11:10:00,7,0.5438571428571428,0.3152408754013501,0,11,3,1,0
1970-01-01 11:11:00,6,0.4231666666666667,0.05308640755096042,0,11,3,1,0
1970-01-01 11:12:00,13,0.40453846153846157,0.024459542734262842,0,11,3,1,0
1970-01-01 11:13:00,1,0.394,,0,11,3,1,0
1970-01-01 11:14:00,8,0.40025,0.02496712123688157,0,11,3,1,0
1970-01-01 11:15:00,3,0.424,0.009848857801796113,0,11,3,1,0
1970-01-01 11:16:00,7,0.38471428571428573,0.015434963402551212,0,11,3,1,0
1970-01-01 11:17:00,5,0.3906,0.01742985943718421,0,11,3,1,0
1970-01-01 11:18:00,7,0.39185714285714285,0.027937003963850356,0,11,3,1,0
1970-01-01 11:19:00,8,0.45,0.16797533832594083,0,11,3,1,0
1970-01-01 11:20:00,6,0.427,0.034310348293189914,0,11,3,1,0
