ds,y,avg_duration,std_duration,cold_starts,hour,dayofweek,is_business_hours,is_weekend
1970-01-02 14:49:00,37,0.1567027027027027,0.16580340850015798,1,14,4,1,0
1970-01-02 14:50:00,38,0.15560526315789475,0.1126651435278236,0,14,4,1,0
1970-01-02 14:51:00,46,0.09767391304347826,0.10145717308803007,0,14,4,1,0
1970-01-02 14:52:00,44,0.12277272727272727,0.10360162152730372,0,14,4,1,0
1970-01-02 14:53:00,86,0.12730232558139534,0.15157409911967087,0,14,4,1,0
1970-01-02 14:54:00,80,0.11503749999999999,0.11723938981978906,0,14,4,1,0
1970-01-02 14:55:00,91,0.11686813186813187,0.11368310817464962,0,14,4,1,0
1970-01-02 14:56:00,81,0.10290123456790125,0.10171954150239174,0,14,4,1,0
1970-01-02 14:57:00,89,0.11313483146067417,0.10935286825552364,0,14,4,1,0
1970-01-02 14:58:00,84,0.09157142857142857,0.10526378634652511,0,14,4,1,0
1970-01-02 14:59:00,138,0.12928985507246377,0.11704663758853459,0,14,4,1,0
1970-01-02 15:00:00,152,0.11817105263157894,0.1227291626648738,0,15,4,1,0
1970-01-02 15:01:00,156,0.12255769230769231,0.12040406382513814,0,15,4,1,0
1970-01-02 15:02:00,142,0.10373943661971831,0.11317604936573358,0,15,4,1,0
1970-01-02 15:03:00,151,0.09396688741721855,0.10079136320264372,0,15,4,1,0
1970-01-02 15:04:00,144,0.09213194444444445,0.10692532172952264,0,15,4,1,0
1970-01-02 15:05:00,144,0.09058333333333334,0.10123803563947623,0,15,4,1,0
1970-01-02 15:06:00,141,0.10353191489361703,0.11563894259976916,0,15,4,1,0
1970-01-02 15:07:00,151,0.11342384105960264,0.12551724646895304,0,15,4,1,0
1970-01-02 15:08:00,181,0.11182320441988951,0.12801606545320432,0,15,4,1,0
1970-01-02 15:09:00,165,0.10367272727272728,0.11551212393533945,0,15,4,1,0
1970-01-02 15:10:00,192,0.09466145833333334,0.1017120716654098,0,15,4,1,0
1970-01-02 15:11:00,162,0.10121604938271604,0.11259887134325076,0,15,4,1,0
1970-01-02 15:12:00,175,0.09486857142857143,0.1062218989787892,0,15,4,1,0
1970-01-02 15:13:00,195,0.0972923076923077,0.10706420509529944,0,15,4,1,0
1970-01-02 15:14:00,183,0.09446994535519126,0.0977383697783019,0,15,4,1,0
1970-01-02 15:15:00,174,0.08100574712643678,0.0955193589994103,0,15,4,1,0
1970-01-02 15:16:00,138,0.10206521739130435,0.11155321511833297,0,15,4,1,0
1970-01-02 15:17:00,147,0.09307482993197279,0.09983541856718277,0,15,4,1,0
1970-01-02 15:18:00,151,0.10163576158940398,0.10639056872008337,0,15,4,1,0
1970-01-02 15:19:00,131,0.09966412213740458,0.1062810215844349,0,15,4,1,0
1970-01-02 15:20:00,147,0.09295238095238095,0.11799729120023733,0,15,4,1,0
1970-01-02 15:21:00,129,0.09203100775193798,0.09891165075969442,0,15,4,1,0
1970-01-02 15:22:00,141,0.09280851063829787,0.10309502654580505,0,15,4,1,0
1970-01-02 15:23:00,136,0.11613970588235294,0.10929119599892671,0,15,4,1,0
1970-01-02 15:24:00,143,0.10200000000000001,0.12046015061971298,0,15,4,1,0
1970-01-02 15:25:00,174,0.1021206896551724,0.12002081865453296,0,15,4,1,0
1970-01-02 15:26:00,155,0.11221290322580646,0.11886415836623733,0,15,4,1,0
1970-01-02 15:27:00,156,0.12134615384615384,0.11407301871176587,0,15,4,1,0
1970-01-02 15:28:00,165,0.11151515151515153,0.11286413189774587,0,15,4,1,0
1970-01-02 15:29:00,151,0.10525165562913907,0.11994716717750069,0,15,4,1,0
1970-01-02 15:30:00,150,0.10571333333333333,0.10602502785870173,0,15,4,1,0
1970-01-02 15:31:00,143,0.09432167832167832,0.11254267430990507,0,15,4,1,0
1970-01-02 15:32:00,142,0.0897112676056338,0.09884543281534411,0,15,4,1,0
1970-01-02 15:33:00,124,0.10967741935483871,0.10749441644694792,0,15,4,1,0
1970-01-02 15:34:00,110,0.11464545454545455,0.11498436960899792,0,15,4,1,0
1970-01-02 15:35:00,132,0.09861363636363636,0.10468474284798719,0,15,4,1,0
1970-01-02 15:36:00,121,0.09145454545454546,0.1091487517106815,0,15,4,1,0
1970-01-02 15:37:00,115,0.11357391304347826,0.11437864639913184,0,15,4,1,0
1970-01-02 15:38:00,130,0.09355384615384615,0.10826138778838754,0,15,4,1,0
1970-01-02 15:39:00,113,0.10497345132743363,0.1135355089338787,0,15,4,1,0
1970-01-02 15:40:00,121,0.0869504132231405,0.09672002991794316,0,15,4,1,0
1970-01-02 15:41:00,121,0.11032231404958678,0.11165611006389463,0,15,4,1,0
1970-01-02 15:42:00,113,0.11178761061946903,0.11465619814778513,0,15,4,1,0
1970-01-02 15:43:00,123,0.09044715447154472,0.09883420487519493,0,15,4,1,0
1970-01-02 15:44:00,112,0.11951785714285713,0.11718868916170562,0,15,4,1,0
